Text_Name	Text_Type	Year	Left	Drittletztes_Wort	Vorletztes_Wort	LetztesWort	Key	Right	Compound	Lemma	Base_Verb	Period	Century	Determiner	Prep_V_ung	Adj	Genitive	Prefix	Syntagma
text_name blumenbach_anatomie_1815	text_texttype Wissenschaft	1815	: ichtlich . – s. J. El. Rindingers	J.	El.	Rindingers	Abbildung	 des/d zahmen/zahm Löwen/Löwe ,/, der/die 1760/1760 ./. in/in Deutsc		Abbildung	abbilden	18(0|1|2|3|4).	18..	gen			pre	ab	
text_name schauberg_freimaurerei03_1863	text_texttype Gebrauchsliteratur	1863	: schrieben und auf Taf. X. b seiner	X.	b	seiner	Abbildungen	 dargestellt/darstellen ./. Die/d Nummern/Nummer 1/1 ,/, 2/2 ,/, 6/6 ,		Abbildung	abbilden	18(5|6|7|8|9).	18..	gen			pre	ab	
text_name blumenbach_anatomie_1815	text_texttype Wissenschaft	1815	: ischer im gedachten Werke treffliche	gedachten	Werke	treffliche	Abbildungen	 gegeben/geben hat/haben ./. §./§. 21/21 ./. Bey/bei den/d mit/mit H		Abbildung	abbilden	18(0|1|2|3|4).	18..			trefflich		ab	
text_name rossmaessler_wald_1863	text_texttype Gebrauchsliteratur	1863	: ganz anſchaulich . Es iſt eine treue	iſt	eine	treue	Abbildung	 einer/eine bei/bei Leipzig/Leipzig ſtehenden/stehend Eiche/Eiche ,/,		Abbildung	abbilden	18(5|6|7|8|9).	18..	u		treu	post	ab	
text_name storch_petersburg02_1794	text_texttype Gebrauchsliteratur	1794	: ill in England ; eine Reihe von	eine	Reihe	von	Abbildungen	 aus/aus dem/d Gebiet/Gebiet der/d Thier-/thier- und/und Pflanzenwelt/		Abbildung	abbilden	17(5|6|7|8|9).	17..					ab	
text_name carus_gynaekologie01_1820	text_texttype Wissenschaft	1820	: ll zu ſprechen , welche waͤhrend der	welche	waͤhrend	der	Abbindung	 eines/eine Polypen/Polyp ſich/sich zuweilen/zuweilen aͤußern/äuß		Abbindung	abbinden	18(0|1|2|3|4).	18..	b			post	ab	
text_name arndt_christentum03_1610	text_texttype Gebrauchsliteratur	1610	: s gerne . Aus ſolcher Erkentnis vnnd	ſolcher	Erkentnis	vnnd	abbittung	 der/d Suͤnden/Sünde /// erkennet/erkennen der/d Menſch/Mensch /// 		Abbittung	abbitten	16(0|1|2|3|4).	16..	solch			post	ab	
text_name eckarth_chronica_1737	text_texttype Gebrauchsliteratur	1737	: hne was er sonsten vor Schaden mit	vor	Schaden	mit	Abdeckung	 der/d Häuser/Haus und/und Scheunen/Scheune ,/, und/und Umreissung/Um		Abdeckung	abdecken	17(0|1|2|3|4).	17..		mit		post	ab	
text_name basteln_kichote_1648	text_texttype Belletristik	1648	: en . Er widerholte auch gegen jhn die	gegen	jhn	die	Abfertigung	 vnd/und Bottschafft/Botschaft /// so/so er/er von/von seinetwegen/sei		Abfertigung	abfertigen	16(0|1|2|3|4).	16..	b				ab	
text_name puetter_staatsverfassung03_1787	text_texttype Wissenschaft	1787	: ichen Hofes einſeitig geſchehenen	Hofes	einſeitig	geſchehenen	Abforderung	 der/d Cammergerichts-Acten/Cammergerichts-Acten und/und Berathſchlag		Abforderung	abforderen	17(5|6|7|8|9).	17..	u		geschehen	post	ab	
text_name vertrag_westfaelischer_1648	text_texttype Gebrauchsliteratur	1649	: Weiß  als vnden benambt  nebenst	vnden	benambt	nebenst	Abführung	 der/d Besatzungen/Besatzung /// dem/d Hertzogen/Herzog zu/zu Würtenb		Abführung	abführen	16(0|1|2|3|4).	16..		nebenst		post	ab	
text_name griesinger_psychische_1845	text_texttype Wissenschaft	1845	: darin bestehen , dass nur vorgestellte	dass	nur	vorgestellte	Abgrenzungen	 und/und Formen/Form im/im Seh-/seh- oder/oder Gehörfeld/Gehörfeld e		Abgrenzung	abgrenzen	18(0|1|2|3|4).	18..			vorgestellt		ab	
text_name tulla_rhein_1822	text_texttype Gebrauchsliteratur	1822	:  Vertheidigung einzelner Stellen , die	Stellen	0	die	Abhaltung	 der/d Angriffe/Angriff ohne/ohne Hebung/Hebung der/d Ursachen/Ursache		Abhaltung	abhalten	18(0|1|2|3|4).	18..	b			post	ab	
text_name curtius_sprachforschung_1885	text_texttype Wissenschaft	1885	: tischen Völker “ anknüpfenden	Völker	“	anknüpfenden	Abhandlung	 (/( american/American Journal/Journal of/Of Philology/Philologie Vol.		Abhandlung	abhandeln	18(5|6|7|8|9).	18..			anknüpfend		ab	
text_name bodmer_sammlung02_1741	text_texttype Belletristik	1741	:  keine Lehrbuͤcher noch critiſche	Lehrbuͤcher	noch	critiſche	Abhandlungen	 verfaſſet/verfassen ./. Was/was wir/wir critiſches/kritisch von/vo		Abhandlung	abhandeln	17(0|1|2|3|4).	17..			kritisch		ab	
text_name jahn_rede_1849	text_texttype Gebrauchsliteratur	1849	: chönste Denkmal der Art aber ist die	aber	ist	die	Abhandlung	 über/über den/d Orpheus/Orpheus ,/, ein/eine Muster/Muster scharfer		Abhandlung	abhandeln	18(0|1|2|3|4).	18..	b				ab	
text_name winckelmann_kunstgeschichte01_1764	text_texttype Wissenschaft	1764	: e , worinn ſie gewirket , fuͤhret die	0	fuͤhret	die	Abhandlung	 von/von dem/d Einfluſſe/Einfluß des/d Himmels/Himmel in/in die/d K		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b				ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	:  ½ Loth Silber halten . Die dritte	.	Die	dritte	Abhandlung	 von/von dem/d Grubenbau/Grubenbau ./. Das/d erſte/erst Kapittel/Kapi		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b		Zahlwort		ab	
text_name buechner_werke_1879	text_texttype Belletristik	1879	:  , endlich eine ſehr fleißige	eine	ſehr	fleißige	Abhandlung	 über/über die/d Anſichten/Ansicht ſeiner/seine Schüler/Schüler 		Abhandlung	abhandeln	18(5|6|7|8|9).	18..	u		fleißig		ab	
text_name lohenstein_ibrahim_1673	text_texttype Belletristik	1673	:  Muſtafa. p. 351 . Zu der Fuͤnfften	Zu	der	Fuͤnfften	Abhandlung	 ./. V./v. 19/19 ./. Er/er ſchickte/schicken ſtatt/statt des/d Stric		Abhandlung	abhandeln	16(5|6|7|8|9).	16..	b				ab	
text_name cancrin_beschreibung_1767	text_texttype Wissenschaft	1767	: zubereitet , wie ich in der fuͤnften	in	der	fuͤnften	Abhandlung	 mit/mit mehrerem/mehrere zeigen/zeigen werde/werden ./. Der/d gedacht		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	b				ab	
text_name carus_zoologie_1872	text_texttype Gebrauchsliteratur	1872	: �einer mit Recht berühmt gewordenen	Recht	berühmt	gewordenen	Abhandlungen	 über/über wirbelloſe/wirbellos Thiere/Tier aus/aus ,/, erblindete/		Abhandlung	abhandeln	18(5|6|7|8|9).	18..	u		geworden		ab	
text_name glueck_pandecten01verbesserungen_1798	text_texttype Wissenschaft	1798	: n Joh. Ludw. Schmidts hinterlaſſene	Ludw.	Schmidts	hinterlaſſene	Abhandlungen	 verſchiedener/verschieden practiſchen/praktisch Rechtsmaterien/Rech		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	gen		hinterlassen	pre	ab	
text_name glueck_pandecten02verbesserungen_1800	text_texttype Wissenschaft	1800	:  263. und Schmidts hinterlaſſene	und	Schmidts	hinterlaſſene	Abhandlungen	 verſchiedener/verschieden pract/Pract ./. Rechtsmaterien/Rechtsmater		Abhandlung	abhandeln	18(0|1|2|3|4).	18..	gen		hinterlassen	pre	ab	
text_name bauller_lasterspiegel_1681	text_texttype Gebrauchsliteratur	1681	: reden und predige  wollen demnach in	wollen	demnach	in	Abhandlung	 unſerer/unsere vorhabenden/vorhabend Laſter-Predigten/Laster-Predig		Abhandlung	abhandeln	16(5|6|7|8|9).	16..		in		post	ab	
text_name laukhard_leben02_1792	text_texttype Belletristik	1792	: ne Opponenten nicht uneben . Meine	uneben	.	Meine	Abhandlung	 ,/, deren/die Abdruck/Abdruck ich/ich nicht/nicht ſelbſt/selbst kor		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	gen			pre	ab	
text_name blumenbach_physiologie_1795	text_texttype Wissenschaft	1795	: t einem Blicke übersehen in meiner	übersehen	in	meiner	Abhandlung	 über/über den/d Bildungstrieb/Bildungstrieb 2te/2te Auflage/Auflage		Abhandlung	abhandeln	17(5|6|7|8|9).	17..	gen			pre	ab	
